date,value
1989-06-01,1.1968
1989-07-01,1.6264512
1989-08-01,2.22693698304
1989-09-01,3.115930226669568
1989-10-01,4.382244270788081
1989-11-01,6.156176751603096
1989-12-01,9.057582854633635
1990-01-01,14.624373277091467
1990-02-01,26.512526314039118
1990-03-01,48.76979215467496
1990-04-01,62.596028230525306
1990-05-01,66.30797270459546
1990-06-01,72.89898519143225
1990-07-01,81.65415331292326
1990-08-01,92.7754489941434
1990-09-01,104.65070646539377
1990-10-01,118.22390309395534
1990-11-01,138.1564531555962
1990-12-01,163.02461472360352
1991-01-01,191.87997152968134
1991-02-01,232.21314154522037
1991-03-01,253.55352925322612
1991-04-01,273.3560598879031
1991-05-01,293.8030931675182
1991-06-01,318.71759546812376
1991-07-01,360.85206158900974
1991-08-01,415.8820009813337
1991-09-01,477.97318372784684
1991-10-01,586.1385152054586
1991-11-01,736.3072028010971
1991-12-01,910.2965948229963
1992-01-01,1124.7624725632943
1992-02-01,1438.121297419428
1992-03-01,1745.7354429374436
1992-04-01,2093.83509025917
1992-05-01,2521.6055991991184
1992-06-01,3116.95668117003
1992-07-01,3797.700020337565
1992-08-01,4733.073535346707
1992-09-01,5929.12121772882
1992-10-01,7515.754055593052
1992-11-01,9276.695230818505
1992-12-01,11603.290394707785
1993-01-01,14600.420303660807
1993-02-01,18748.39971193084
1993-03-01,23669.854636312688
1993-04-01,30493.873727961636
1993-05-01,39550.55422516624
1993-06-01,52008.978806093604
1993-07-01,68261.78468299785
1993-08-01,89962.20603372288
1993-09-01,121700.87232242031
1993-10-01,164344.8579841964
1993-11-01,223755.5241454834
1993-12-01,309498.6409980326
1994-01-01,430419.76003596396
1994-02-01,605944.9381786301
1994-03-01,882922.3694200818
1994-04-01,1244125.9107498373
1994-05-01,1773874.723547118
1994-06-01,2575843.4860627702
1994-07-01,2687377.509009288
1994-08-01,2793260.182864254
1994-09-01,2842142.2360643786
1994-10-01,2893869.2247607503
1994-11-01,2976344.4976664316
1994-12-01,3001345.7914468297
1995-01-01,3028958.1727281404
1995-02-01,3071060.6913290615
1995-03-01,3105456.571071947
1995-04-01,3170671.1590644578
1995-05-01,3189061.051787032
1995-06-01,3267511.953660993
1995-07-01,3326980.6712176227
1995-08-01,3400174.2459844104
1995-09-01,3376033.008837921
1995-10-01,3393588.3804838783
1995-11-01,3434311.441049685
1995-12-01,3458695.0522811376
1996-01-01,3518530.4766856013
1996-02-01,3552660.2223094516
1996-03-01,3566870.8631986897
1996-04-01,3578284.8499609255
1996-05-01,3633748.2651353194
1996-06-01,3670812.4974396997
1996-07-01,3720368.466155136
1996-08-01,3730785.49786037
1996-09-01,3734516.2833582307
